AvailableFeatures,ConsumedMegajoules,Lowestkilojoules
"omnipart,128gb,broadwell-ep,e5-2640v4",1440.93,8533.63
"omnipart,192,broadwell-ep,e5-2640v4",2273.02,12609.48
